policy,budget,n,emitted,abstained,extra_generations,total_generations,expected_correct_answers,expected_accuracy,coverage,selective_accuracy,accuracy_per_extra_generation,correct_answers_per_generation,expected_accuracy_ci_low,expected_accuracy_ci_high,expected_accuracy_bootstrap_valid,coverage_ci_low,coverage_ci_high,coverage_bootstrap_valid,selective_accuracy_ci_low,selective_accuracy_ci_high,selective_accuracy_bootstrap_valid,accuracy_per_extra_generation_ci_low,accuracy_per_extra_generation_ci_high,accuracy_per_extra_generation_bootstrap_valid,correct_answers_per_generation_ci_low,correct_answers_per_generation_ci_high,correct_answers_per_generation_bootstrap_valid,run
joint_high_se_error,1,2221,2221,0,801,3022,1638.0,0.7375056280954525,1.0,0.7375056280954525,-0.1373283395755306,0.5420251489080079,0.7194957226474561,0.755076542098154,1000,1.0,1.0,1000,0.7194957226474561,0.755076542098154,1000,-0.1685052574329224,-0.1063306853175094,1000,0.5245326423320966,0.5606294418104748,1000,triviaqa_long
never_resample,2,2221,2221,0,0,2221,1748.0,0.7870328680774425,1.0,0.7870328680774425,0.0,0.7870328680774425,0.769923457901846,0.8041422782530392,1000,1.0,1.0,1000,0.769923457901846,0.8041422782530392,1000,0.0,0.0,1000,0.769923457901846,0.8041422782530392,1000,triviaqa_long
always_resample,2,2221,2221,0,4442,6663,1522.0,0.6852769022962629,1.0,0.6852769022962629,-0.0508779828905898,0.2284256340987543,0.6692931112111662,0.7017221972084647,1000,1.0,1.0,1000,0.6692931112111662,0.7017221972084647,1000,-0.0571842638451148,-0.0449093876632147,1000,0.2230977037370553,0.2339073990694882,1000,triviaqa_long
joint_high_se_error,2,2221,2221,0,1602,3823,1638.0,0.7375056280954525,1.0,0.7375056280954525,-0.0686641697877653,0.4284593251373267,0.7210659612787034,0.7546262944619541,1000,1.0,1.0,1000,0.7210659612787034,0.7546262944619541,1000,-0.0807165699131568,-0.0563466993506919,1000,0.4121255902218123,0.4461491881649672,1000,triviaqa_long
never_resample,5,2221,2221,0,0,2221,1748.0,0.7870328680774425,1.0,0.7870328680774425,0.0,0.7870328680774425,0.769923457901846,0.8041422782530392,1000,1.0,1.0,1000,0.769923457901846,0.8041422782530392,1000,0.0,0.0,1000,0.769923457901846,0.8041422782530392,1000,triviaqa_long
always_resample,5,2221,2221,0,11105,13326,1513.0,0.6812246735704638,1.0,0.6812246735704638,-0.0211616389013957,0.1135374455950773,0.6662764520486268,0.6975258892390815,1000,1.0,1.0,1000,0.6662764520486268,0.6975258892390815,1000,-0.0232687978388113,-0.0191985592075641,1000,0.1110460753414378,0.1162543148731802,1000,triviaqa_long
joint_high_se_error,5,2221,2221,0,4005,6226,1635.8,0.7365150832958127,1.0,0.7365150832958127,-0.0280149812734082,0.2627369097333761,0.720211616389014,0.7540792435839713,1000,1.0,1.0,1000,0.720211616389014,0.7540792435839713,1000,-0.032466054862463,-0.0238824077669903,1000,0.250310302665165,0.2770580248402917,1000,triviaqa_long
never_resample,10,2221,2221,0,0,2221,1748.0,0.7870328680774425,1.0,0.7870328680774425,0.0,0.7870328680774425,0.769923457901846,0.8041422782530392,1000,1.0,1.0,1000,0.769923457901846,0.8041422782530392,1000,0.0,0.0,1000,0.769923457901846,0.8041422782530392,1000,triviaqa_long
always_resample,10,2221,2221,0,22210,24431,1516.2,0.6826654660063035,1.0,0.6826654660063035,-0.0104367402071139,0.0620604969096639,0.6677600180099055,0.6978849617289509,1000,1.0,1.0,1000,0.6677600180099055,0.6978849617289509,1000,-0.0113868752814047,-0.009518009905448,1000,0.0607054561827186,0.0634440874299046,1000,triviaqa_long
joint_high_se_error,10,2221,2221,0,8010,10231,1639.3,0.7380909500225123,1.0,0.7380909500225123,-0.0135705368289638,0.1602287166454891,0.7225506528590725,0.7554288608734805,1000,1.0,1.0,1000,0.7225506528590725,0.7554288608734805,1000,-0.0156251938585607,-0.0116805266863606,1000,0.1515988181221274,0.1702900377671518,1000,triviaqa_long
